type,x_0,x_1,x_2,x_3
0,-0.05079992860555649,-0.0001729689392959699,-0.04741744324564934,0.04165215045213699
1,0.06760813295841217,-0.010915839113295078,-0.09594539552927017,-0.11627940833568573
2,-0.07731197774410248,-0.07022791355848312,-0.12209970504045486,0.07834147661924362
3,0.06238829344511032,0.025290213525295258,0.09994903951883316,-0.07892655581235886
4,0.11795268207788467,-0.023722263053059578,-0.005244467407464981,-0.01651914045214653
5,-0.016165733337402344,-0.012775149196386337,0.04088357836008072,0.017008624970912933
6,0.026007158681750298,0.009173113852739334,-0.08940621465444565,-0.05936712771654129
7,-0.033990971744060516,-0.040518198162317276,0.010135840624570847,0.0018549137748777866
8,0.061585843563079834,-0.040860019624233246,-0.11004172265529633,0.0721498653292656
9,-0.0832834467291832,-0.01775366999208927,-0.07047897577285767,-0.004774861969053745
10,0.04912583902478218,-0.08645963668823242,-0.007221077103167772,-0.05196692794561386
11,-0.020279185846447945,0.019860686734318733,-0.07515177875757217,0.10834226757287979
12,0.09664645791053772,-0.07972065359354019,-0.05162517726421356,-0.032353684306144714
13,0.08572665601968765,-0.055552899837493896,0.04038854315876961,-0.022629722952842712
14,-0.027867760509252548,-0.1228368803858757,-0.11857946962118149,-0.020411068573594093
15,-0.10783103108406067,-0.015884071588516235,0.018807070329785347,0.0551307387650013
16,0.016578491777181625,0.07998057454824448,-0.07881080359220505,-0.11860843747854233
17,-0.03864176571369171,0.08864081650972366,0.12007474154233932,-0.015138627029955387
18,-0.04221580922603607,0.045647770166397095,0.05554594844579697,0.03910735622048378
19,0.10163365304470062,0.022519707679748535,-0.11378336697816849,0.057033721357584
20,0.02607470005750656,-0.07683908939361572,0.061408065259456635,-0.0539940744638443
21,-0.00843062624335289,-0.004276232328265905,-0.05007537826895714,0.016858547925949097
22,0.08268458396196365,0.06654691696166992,-0.02232309803366661,0.09951198101043701
23,-0.02779044583439827,0.032849665731191635,-0.11749695241451263,0.025171460583806038
24,0.01719263568520546,0.1034640297293663,-0.01077683549374342,-0.06898786127567291
25,-0.023597698658704758,-0.0071699651889503,-0.06226402521133423,0.06792904436588287
26,-0.09504514187574387,-0.05448155477643013,0.10841362923383713,-0.059706319123506546
27,0.03762152045965195,-0.07003877311944962,0.0038301637396216393,0.009560396894812584
28,0.0030188870150595903,0.007636969443410635,0.057995058596134186,-0.10636202991008759
29,0.009639598429203033,-0.053889207541942596,-0.10783296078443527,-0.011386426165699959
30,0.05527013540267944,0.10535188019275665,0.11241588741540909,-0.05297625809907913
31,-0.04391844943165779,-0.044511619955301285,0.1048905998468399,0.015056721866130829
32,-0.025557026267051697,-0.09044837951660156,-0.11048799008131027,0.10608512908220291
33,-0.08872617036104202,-0.06562253087759018,-0.0965440422296524,0.10571542382240295
34,-0.10608088970184326,-0.12268038839101791,-0.09515563398599625,0.041120972484350204
35,-0.03796212747693062,-0.1139923483133316,-0.10187704116106033,0.025471845641732216
36,0.007053382694721222,0.029952676966786385,-0.12051164358854294,-0.04009345918893814
37,-0.05912710353732109,-0.10540105402469635,-0.1160389631986618,-0.05139218270778656
38,-0.10568109899759293,0.1187925636768341,0.033286817371845245,-0.04115306958556175
39,0.045270707458257675,-0.10219652950763702,0.051778633147478104,-0.059084389358758926
40,0.027641233056783676,-0.03367959335446358,-0.10160242021083832,-0.037147048860788345
41,-0.052719663828611374,0.03955509886145592,0.038843151181936264,-0.05168020352721214
42,-0.0629158765077591,0.08073493838310242,-0.11062580347061157,-0.060402002185583115
43,0.006740658078342676,0.04304197430610657,-0.09853029996156693,0.08621495962142944
44,-0.08584200590848923,0.10319472849369049,0.0771338939666748,-0.03913452476263046
45,0.09494980424642563,-0.013072649016976357,-0.10682834684848785,-0.08799809217453003
46,0.012275551445782185,0.06457699090242386,0.0524284690618515,0.09283707290887833
47,0.0914551243185997,0.05349420756101608,0.061408959329128265,0.05433790385723114
48,0.08485846221446991,-0.09095390141010284,-0.04577549546957016,0.10564001649618149
49,0.0672396719455719,-0.07613460719585419,-0.06563349813222885,0.004043008200824261
50,-0.03497408330440521,-0.04358731582760811,-0.0889488160610199,-0.044094160199165344
51,-0.024053378030657768,0.0028018325101584196,0.10758350789546967,0.01616894267499447
52,0.0009763654670678079,-0.008708760142326355,0.014048399403691292,-0.10166259855031967
53,0.019672580063343048,-0.1151721253991127,0.060644276440143585,0.08279958367347717
54,0.0006422143196687102,0.07859832793474197,0.12153254449367523,0.006647883448749781
