type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
1,0.0004795609274879098,0.00012187807442387566,0.002870687749236822,0.0031222819816321135,0.0016673423815518618,0.0008784295641817153,0.00028139716596342623,-0.002423119032755494,0.0032749283127486706,0.0015761922113597393,-0.0035440598148852587,0.0010075783357024193,0.0027905586175620556,0.0017558556282892823,0.0030256479512900114,0.0033548022620379925,0.0020779226906597614,0.0035634972155094147,-0.0003637617046479136,0.0035244368482381105,0.004025683272629976,0.0013333882670849562,0.002057582139968872,-0.000687980093061924,0.003773394273594022,0.002708267653360963,0.0019214940257370472,0.0017230992671102285,-0.0036174561828374863,0.0014120656996965408,0.0010152613976970315,-0.0016703546280041337,0.0036971636582165956,0.002308512106537819,0.0035865323152393103,0.001723836176097393,0.003348612692207098,-0.0022436161525547504,-0.0022955448366701603,0.0025509006809443235,-0.0023337379097938538,0.0005528811016120017,-0.002258259104564786,-0.0037116720341145992,0.0018612114945426583,-0.002793430583551526,0.002507492434233427,-0.0010106185218319297,0.002201138762757182,-0.0022275117225944996,0.0022579459473490715,0.0008325486560352147,-0.001719344058074057,0.0014721136540174484,0.0009074224508367479,0.0003170568961650133,-0.0017681451281532645,0.0028877081349492073,-0.0014023850671947002,0.003951977007091045,-0.002190133323892951,0.0024289037100970745,-0.0026074049528688192,-0.00329143600538373,0.0014998508850112557,0.001854399568401277,-0.0031843851320445538,0.0032467690762132406,-0.003327109618112445,-0.003532084636390209,-5.525738015421666e-05,-0.0010997347999364138,0.0017014914192259312,-0.002207423560321331,0.0023944247514009476,0.00270202592946589,0.0015060626901686192,0.00036292828735895455,-0.0020599928684532642,0.0013831412652507424,0.0030422392301261425,-0.0021216287277638912,0.0022747842594981194,0.0033074382226914167,-0.003193105338141322,0.0034158623311668634,0.00034931916161440313,0.0020858687348663807,0.0011211654637008905,0.0030829713214188814,-0.0014096053782850504,-0.0032557265367358923,0.0028445140924304724,0.0012707974528893828,0.0025219477247446775,-0.0012545455247163773,-0.0030636757146567106,0.003801187500357628,-0.0011161293368786573,-0.0006114950519986451,-8.878755761543289e-05,0.0036394642665982246,0.0022011564578861,0.0023706171195954084,0.0006819210248067975,0.0025143763050436974,0.0026648242492228746,-0.001363186864182353,-0.0009136928711086512,0.002399214543402195,-0.0024773203767836094,0.0007099454523995519,-0.0032494713086634874,0.000414838083088398,0.001523160608485341,-0.001262886798940599,0.0018490635557100177,0.0034470788668841124,0.0016996986232697964,-0.0004893336445093155,0.0015580028994008899,-0.00045547084300778806,0.0021768168080598116,-0.00019098400662187487,0.0005842404789291322,-0.00016677301027812064,-0.00068089016713202,-0.0018516479758545756
2,0.0010119518265128136,0.0028036576695740223,0.00013133685570210218,0.0029752436093986034,0.0026696643326431513,0.0014429984148591757,-0.0031706816516816616,-0.002133187372237444,-0.0035435156896710396,-0.0016271331114694476,0.001365753123536706,-0.0035760204773396254,-0.0037503920029848814,0.0038116173818707466,0.003724505193531513,-0.0031102250795811415,-0.0021532713435590267,0.00222462578676641,-0.002134325448423624,0.0031069854740053415,-0.0011460399255156517,0.003450086573138833,-0.003960773348808289,-0.0012193560833111405,-0.003213948104530573,3.4144472010666505e-05,-0.0028777385596185923,-0.0028935475274920464,0.002283138921484351,0.0013793022371828556,0.0004151382890995592,-0.0031968571711331606,-0.003747036447748542,0.0009615201270207763,-0.0004102014354430139,-0.000456673966255039,0.0008319725748151541,-0.0007452151621691883,0.0019863604102283716,0.0010018645552918315,-0.003697551554068923,0.0023987400345504284,0.003267555730417371,-0.0005593347596004605,0.001250682515092194,-0.0034184271935373545,0.0009581047925166786,0.002308658789843321,0.0027142909821122885,0.002209325786679983,-0.002999073127284646,0.0014467715518549085,-0.0007686244207434356,-0.002914150943979621,-0.0037690431345254183,-0.002228186698630452,-0.00023199556744657457,0.003248503664508462,0.0030514367390424013,0.000500357651617378,0.0006595872109755874,-0.003404479706659913,0.0017004909459501505,-0.0006064706831239164,0.0038222207222133875,-0.001048681908287108,0.0016598075162619352,0.0029097155202180147,0.001019127550534904,0.0007872182177379727,0.0006146659725345671,0.002565925708040595,-0.0025130969006568193,0.00016194218187592924,0.0002429656742606312,-0.003126137424260378,-0.003348813159391284,0.001548872678540647,0.0014150111237540841,0.002246465999633074,-0.00028076348826289177,0.0016048609977588058,0.00033556210109964013,-0.0009472522069700062,0.002847657073289156,-0.001991286873817444,0.0019052163697779179,0.0024836696684360504,-0.0013821092434227467,-0.003892108565196395,4.685414751293138e-05,0.0025267985183745623,-0.003606826066970825,0.0027192519046366215,0.0029560495167970657,-0.0038768635131418705,0.0017799302004277706,-0.00013130543811712414,-0.0026599315460771322,0.00010850284161278978,0.00290286703966558,-0.0029285859782248735,0.0013653405476361513,0.0025496548041701317,-0.0013849196257069707,0.0033100272994488478,-0.002508861944079399,-0.001580523792654276,-0.0029578362591564655,-0.0011262077605351806,-0.0009817202808335423,-0.0005172626697458327,0.0011787782423198223,-0.002183377742767334,0.00197806628420949,0.0017212454695254564,-0.0034431484527885914,-0.0019862675108015537,0.0029542758129537106,-0.0021749851293861866,-0.003656447632238269,0.0018945563351735473,-0.002179112285375595,-0.00015958539734128863,-0.00024482194567099214,0.0031731261406093836,-0.0023687288630753756,-0.00025862097390927374
3,-0.002891145646572113,0.0020452782046049833,-0.0036854057107120752,0.0035758824087679386,-0.0006548506789840758,-0.0029205018654465675,0.001716089784167707,-0.00200472678989172,-0.0005768620758317411,-0.0021559949964284897,-0.003769560484215617,-0.0011801933869719505,0.0013071985449641943,0.003313928609713912,0.002946744440123439,-0.002095100237056613,0.0012250208528712392,0.002085238229483366,0.0016177017241716385,0.0029300772584974766,0.0035724369809031487,-0.002611412201076746,0.001216408098116517,0.004038102459162474,-0.0003118501335848123,0.0004286975890863687,0.0018148347735404968,0.0026269725058227777,0.001226739026606083,0.0002830791345331818,-0.0011925570433959365,0.00020007329294458032,0.0005635250126942992,-0.00039751859731040895,-0.0019347124034538865,-0.0009974547429010272,-0.0004159309610258788,-0.0006751227774657309,-0.0031796167604625225,0.0034784378949552774,-0.0021585114300251007,-0.002579370280727744,0.0009859083220362663,0.0004757923015858978,-0.00308099458925426,-0.0010732426308095455,-0.0035384036600589752,-0.0030765507835894823,0.003216040087863803,-0.0007381656323559582,0.0027491163928061724,-0.0009141627233475447,-0.0024924520403146744,-0.0002563399320933968,-0.0003002745797857642,-0.003133659716695547,0.003079999703913927,0.0013523444067686796,0.0005351853324100375,-0.0009011640795506537,-0.0037756096571683884,-0.001538735581561923,0.0012769814347848296,-0.0002798184868879616,-0.002014369936659932,0.000977725489065051,-0.000855955935548991,-0.0013820297317579389,-0.0034765535965561867,-0.002666270127519965,-0.0007626706501469016,0.0034530984703451395,-0.0011521661654114723,-0.0034338724799454212,0.0032515949569642544,-0.0024926569312810898,0.0012537164147943258,-0.002374401781708002,0.002521699760109186,-7.580628880532458e-05,0.0030589548405259848,0.0013877956662327051,-0.0007554675103165209,-0.00021043288870714605,-0.0025765912141650915,-0.0014634481631219387,-0.00039625991485081613,0.00203054491430521,0.0018296270864084363,-0.0008330028504133224,-0.0005182131426408887,0.0038652848452329636,0.002471313811838627,0.0019822590984404087,-0.002655011834576726,0.0032610194757580757,0.0031457857694476843,0.0037271713372319937,0.000514926272444427,0.0003684000112116337,-0.0001819603785406798,-0.001648298348300159,0.0019534083548933268,-0.0008176307310350239,-0.002343246014788747,0.0017217106651514769,-0.0002922875282820314,-0.0008877082145772874,0.003084431402385235,-0.0025048768147826195,0.0005317524774000049,-0.0031697857193648815,0.0020858701318502426,0.0015538666630163789,-0.0010010246187448502,0.0026514295022934675,-0.0005044605350121856,0.000509951263666153,0.0015004994347691536,0.0018943430623039603,-0.002151786582544446,0.0020183816086500883,0.00105110346339643,-0.0008868915610946715,-0.0029577002860605717,0.0022997574415057898,-0.0025657692458480597,-0.0014369450509548187
4,0.0015097185969352722,-0.0023539999965578318,0.002634687116369605,-0.002579787978902459,-0.003422026988118887,-0.0007498689810745418,-0.0026146138552576303,-0.00120919372420758,-0.0022609189618378878,0.0037007781211286783,-0.0020025549456477165,0.0034365353640168905,0.002708193613216281,0.0013155699707567692,-0.001343335839919746,-0.0021985690109431744,-0.003375245025381446,-0.003258091863244772,-0.003406836185604334,-0.0022623613476753235,-0.00261121429502964,0.0012997023295611143,-0.0023586712777614594,-0.0031104509253054857,-0.0025668544694781303,0.0033086780458688736,0.00019705919839907438,0.0024484056048095226,-0.0017083038110285997,0.0036810138262808323,0.003362428629770875,-0.0026783852372318506,8.537671419617254e-06,-0.002174502005800605,-0.0029840690549463034,-0.00374242733232677,0.0024803485721349716,-0.0008009975426830351,0.0022592705208808184,0.0028638599906116724,0.002307757269591093,-0.0017430729931220412,0.0010846145451068878,-0.003222066443413496,0.0019883757922798395,0.0016739006387069821,-0.00033897109096869826,0.003978000488132238,0.002158280462026596,-0.0035105908755213022,0.0034143857192248106,0.0030437279492616653,5.2730181778315455e-05,-0.0010172143811360002,0.001415643491782248,-0.0033602130133658648,0.0022581617813557386,0.0032062826212495565,-0.0002647060027811676,0.0024919903371483088,-0.00030005539883859456,-0.0029357613530009985,-0.0011942391283810139,0.00043408595956861973,-0.00178769719786942,-0.00049351726192981,0.0015586140798404813,0.000337574805598706,-0.0026703847106546164,0.0030969190411269665,-0.00034674309426918626,-0.0035990530159324408,-0.003598761046305299,-0.003080052323639393,-0.0026049551088362932,0.003405411960557103,0.0015152014093473554,0.0008120817947201431,-0.00033329069265164435,0.003496481804177165,-0.003922222647815943,5.6267243053298444e-05,0.0037377967964857817,-0.0035903751850128174,0.0019314712844789028,-0.0025201081298291683,-0.0007795616402290761,0.0003251036978326738,0.0011029017623513937,-0.0020125790033489466,0.0018661986105144024,0.00370886642485857,-0.0027859259862452745,8.362317021237686e-05,-6.0594895330723375e-05,0.0028917654417455196,0.0030687020625919104,0.0005422780523076653,-0.0004917685291729867,0.0029444380197674036,0.0016352703096345067,0.00021827813179697841,-0.00011383747914806008,-0.001624539028853178,-0.0036412030458450317,0.0012996935984119773,-0.0013620620593428612,0.002694088499993086,-0.0012882858281955123,0.002294571604579687,0.001091359998099506,-0.000302398344501853,0.0012127967784181237,-0.0023438995704054832,0.0025345650501549244,-0.0024692153092473745,-0.0005182817112654448,-0.0013977843336760998,0.002725825412198901,-0.0019166403217241168,-0.002390076406300068,-0.0031157222110778093,0.0029188604094088078,0.0019103126833215356,0.00291850115172565,0.0024012948852032423,-0.0006587615935131907,0.0003552621346898377
5,0.003885375102981925,0.0003388992336113006,-0.0008308168617077172,-0.0008878388907760382,0.0020752944983541965,-0.0011109416373074055,-0.0022375639528036118,0.0008703974890522659,-0.00020509255409706384,-0.0005855257622897625,-0.003298572264611721,0.0013669111067429185,-0.003281067591160536,-0.002723929937928915,0.0009180508204735816,0.0029936765786260366,-1.761311068548821e-05,-0.0036282252985984087,0.003371923929080367,0.0030939525458961725,-0.0032121853437274694,-0.002150996122509241,-0.002740246942266822,-0.0028308697510510683,-0.0011631909292191267,-0.001921088551171124,-0.0013580081285908818,2.4941997253336012e-05,0.0033553934190422297,-0.0009895984549075365,-0.003129978198558092,-0.002955195028334856,0.003224623389542103,-0.0018682439113035798,0.0026374401059001684,0.0017022371757775545,0.001974833430722356,0.003620951436460018,-0.00165864871814847,-0.0009343744604848325,-0.0014001588569954038,-0.002637428930029273,0.002506647724658251,0.0004149283922743052,0.000504436669871211,-0.0025231593754142523,-0.0026013506576418877,-0.0004953234456479549,0.003148358315229416,0.003326492151245475,-0.002589422045275569,0.00021150997781660408,-0.0034019839949905872,0.0006579842884093523,-0.0018152570119127631,0.0030005238950252533,-0.0029792049899697304,0.0010189382592216134,0.002036693273112178,-0.002160675823688507,-0.0037996305618435144,-0.0031648112926632166,0.0004637273959815502,0.0038475575856864452,-0.0016354162944480777,-0.0008909712196327746,0.0029524399433285,-0.0012061655288562179,-0.0002635690034367144,0.0035112572368234396,0.002096584066748619,-0.001088685356080532,0.00022869976237416267,0.0013971308944746852,0.0016417033039033413,-0.0022259997203946114,0.003919296897947788,0.0033524832688272,-0.003983304835855961,0.0032345710787922144,0.0014360671630129218,0.0038069996517151594,0.002524874173104763,-1.4676533282909077e-05,0.003067971207201481,0.0015455960528925061,0.0015598594909533858,-0.002454425673931837,-0.0005201534368097782,-0.0022471006959676743,-0.0035992388147860765,0.0031746996100991964,0.0005770264542661607,-0.0005986856413073838,0.002450784668326378,0.0008029800956137478,0.0033119823783636093,0.0013945522950962186,-0.0004483551310840994,-0.0008738400647416711,0.0018763437401503325,-0.003350022714585066,-0.003084284719079733,-8.861522655934095e-05,-0.0034666929859668016,0.0015424839220941067,0.000242593145230785,-0.0006312476471066475,0.0008969084010459483,-0.0029662589076906443,0.0030783021356910467,-0.003633731510490179,-0.0010467020329087973,-0.0011995116947218776,0.0010751901427283883,-0.0005979343550279737,-0.0018181171035394073,0.0017289052484557033,0.0017661011079326272,0.0020601926371455193,0.00042515937821008265,0.0007967731216922402,0.003714957507327199,-0.0005356374313123524,0.00012825930025428534,0.0006311297183856368,-0.002816799096763134,-0.0030989302322268486
6,-0.0003514499112498015,-0.0010289686033502221,0.0026562793646007776,-0.00230414979159832,-2.085999585688114e-05,0.0023787785321474075,-0.0036810515448451042,0.0008290908299386501,-0.002172849839553237,-0.002297785133123398,-0.0030973253306001425,0.0032125040888786316,-0.002514658961445093,-0.0038283441681414843,0.002432487206533551,-0.0017494505736976862,-0.00021561495668720454,-0.00035268330248072743,0.001583823119290173,0.0022515433374792337,3.974758510594256e-05,0.0033971993252635,0.0036524294409900904,0.0012498514261096716,-0.0020024969708174467,0.0005722165224142373,-0.003175813937559724,0.003920686896890402,0.0036073015071451664,-0.0027306433767080307,-0.002354795578867197,0.0006318087689578533,0.0015776129439473152,-0.0011139572598040104,0.0029693625401705503,-0.00244426098652184,-0.0017540797125548124,0.0008288004901260138,-0.001600721850991249,-0.0037393562961369753,-0.001024205470457673,0.0015475198160856962,0.002207975834608078,-0.0034603653475642204,-0.0007079654606059194,-0.0035215893294662237,0.0022243123967200518,0.001217130571603775,-0.0012538897572085261,-0.0022039932664483786,-0.0017946383450180292,0.002869070740416646,-0.0034390573855489492,0.002093350049108267,7.043305959086865e-05,-0.0008944983128458261,0.0010795097332447767,-0.002687056316062808,0.0008373749442398548,0.0028626660350710154,0.0021076914854347706,-0.0028827646747231483,-0.0019060790073126554,-0.0022925203666090965,0.0022064936347305775,-0.0007327266503125429,0.0031595914624631405,-0.0006842106813564897,0.0002655029820743948,-0.002286473987624049,0.0017636276315897703,0.00218456843867898,0.002235820982605219,0.0029214653186500072,0.0037263287231326103,-0.0016069943085312843,-0.0005181339802220464,0.003739287843927741,0.002532058162614703,0.0004310961230657995,0.0013727924088016152,-0.0035619535483419895,-0.003922602627426386,0.0029319485183805227,-3.7616307963617146e-05,-0.003886974649503827,-0.001496715354733169,0.0038432448636740446,0.001849208027124405,0.0034083672799170017,-0.0015788685996085405,0.0031507525127381086,0.0026938326191157103,0.0017378067132085562,0.002816899213939905,0.0007271770155057311,-0.0023145570885390043,0.0011642802273854613,0.0012908346252515912,0.0036063792649656534,-0.00010811765969265252,0.003653045976534486,-0.0015505794435739517,-0.0015771558973938227,-0.0016029884573072195,-0.003508468624204397,-0.0016551994485780597,0.001244479208253324,-0.0022842194885015488,-0.0019333467353135347,-0.0038499983493238688,0.0025537253823131323,3.092335828114301e-05,-0.003607792779803276,0.0009302570833824575,0.0016024468932300806,0.002941414713859558,0.0014321893686428666,0.003495831275358796,0.0007523527601733804,0.00017523641872685403,0.0013981957454234362,-0.0025797642301768064,-0.0006325123249553144,-0.0021828357130289078,0.003493643831461668,-0.0016934121958911419,-0.0007935920730233192
7,-0.0006886573391966522,0.0007877203170210123,-0.0020139373373240232,0.0009854737436398864,-0.0025801188312470913,0.00010073819430544972,-0.003812900511547923,0.00313103711232543,0.0025392540264874697,-0.0032963212579488754,0.0020657761488109827,0.00046432955423370004,0.0013553316239267588,-0.0007981067174114287,-0.0012682824162766337,-0.003416436957195401,0.0020794502925127745,-0.0012159167090430856,-7.526640547439456e-05,-0.0008185444166883826,0.00026089634047821164,0.0034268759191036224,-0.003038211027160287,-0.0034375570248812437,-0.002427097875624895,0.00028191012097522616,-0.0021757667418569326,-0.002808127785101533,0.00198782398365438,-1.8133212506654672e-05,0.0003435897524468601,-0.000777331180870533,0.002136829076334834,0.0004514813481364399,-0.003770835231989622,-0.0016942019574344158,-0.0005469084135256708,-2.2761549189453945e-05,0.0005644586635753512,-0.003463438944891095,0.0009448047494515777,-0.003214336233213544,0.0025576206389814615,-0.00029023605748079717,-2.0743077584484126e-06,0.0010863838251680136,5.231266550254077e-05,0.0034614712931215763,-0.0033163982443511486,0.00011030393943656236,0.0015632619615644217,-0.0013978907372802496,0.0002990348148159683,-0.0007874838192947209,0.0010288981720805168,-0.0026074012275785208,-0.001275021699257195,0.0016699045663699508,-0.0014927919255569577,-0.002124301390722394,0.0018297655042260885,0.0018597575835883617,-0.0030256398022174835,-0.0007702737930230796,0.002583501860499382,0.0013547202106565237,0.002072068862617016,0.0007617512019351125,0.0005344725796021521,0.0016008744714781642,0.003758535720407963,-0.0013372208923101425,-0.0016094022430479527,-0.000999731826595962,1.1163601811858825e-05,-0.0034974117297679186,-0.0011516655795276165,0.0025481947232037783,0.0032189020421355963,0.0003707448486238718,0.003125289920717478,-0.0013514922466129065,0.0036655571311712265,-0.0003524594067130238,-0.0010611072648316622,-0.004030006006360054,0.0019333582604303956,0.0004357216530479491,0.003167863702401519,-0.0015341108664870262,0.0033052500803023577,0.0032570266630500555,-0.0029295494314283133,-0.0007533497991971672,-0.002224530093371868,0.00038611225318163633,-0.0034645418636500835,0.0037709453608840704,-0.0024197453167289495,-0.0022203242406249046,-0.0007604311686009169,-0.0009174849838018417,0.001833330956287682,0.0018651095451787114,-0.0022757677361369133,-0.0005975047824904323,-0.0036007908638566732,-0.0034050727263092995,0.00016250360931735486,-3.9042697608238086e-05,-0.0008421015227213502,0.0035091086756438017,0.0008260442409664392,0.001153059653006494,-0.00014450616436079144,0.0016677809180691838,-0.002764002187177539,0.0005525599699467421,-0.0037703996058553457,-0.003233225317671895,-0.0032429934944957495,-0.0018478730926290154,-0.0028466214425861835,-0.00035711415694095194,0.002768656937405467,-0.003673907835036516,0.0038540076930075884,0.0028812263626605272
8,0.0028158787172287703,0.00016278779366984963,-0.0023701360914856195,-0.00378588167950511,0.001218751771375537,-0.00188068812713027,0.0030803808476775885,0.0035277626011520624,0.0016202406259253621,-0.0024641852360218763,0.0005530996713787317,0.002639011712744832,0.00201281625777483,0.0005211939569562674,-0.00015333759074565023,-0.0002208221412729472,-0.0016508507542312145,0.0039165508933365345,0.00162259500939399,-0.0018203865038231015,0.0009995102882385254,-0.0025402153842151165,-0.0018667164258658886,-0.0007282020524144173,-0.001108446973375976,-0.0037387418560683727,0.002247955882921815,0.0033194823190569878,-0.0019740001298487186,-0.0012129259994253516,0.002518963534384966,-0.0014114341465756297,0.0032979242969304323,0.001430771080777049,-0.002339448081329465,0.0003320647811051458,0.0013852640986442566,0.0018972543766722083,-0.001035271561704576,-0.00206118100322783,0.0030451470520347357,0.0014552692882716656,-0.0002769797865767032,-0.0038353430572897196,-0.002897141734138131,-0.0026150245685130358,0.0016381830209866166,-0.0020171040669083595,0.0006310018361546099,0.003483455628156662,-0.0011507896706461906,-0.002891395939514041,0.00026113918283954263,0.0037346717435866594,-0.0012802605051547289,-0.003219284350052476,-0.0028021179605275393,0.0018327746074646711,0.0013843970373272896,0.0034828910138458014,-0.0030217135790735483,0.0011366676772013307,0.003957724664360285,-0.0013117471244186163,-0.003013581270352006,-0.0036784482654184103,-0.0031087188981473446,0.0006347447051666677,-0.002648493740707636,-0.00162220629863441,0.0036244604270905256,-0.0011195176048204303,-0.003502169856801629,0.0027509676292538643,-0.0005802552914246917,0.0019499093759804964,-0.0031203192193061113,-0.003902832278981805,-0.0032540017273277044,-0.00031161506194621325,-0.0014869233127683401,0.003962862305343151,-0.0007561215898022056,-0.0004428623942658305,-0.00017879341612569988,-0.00260802055709064,0.0028937493916600943,0.00032290187664330006,-0.00282964832149446,-0.00230861222371459,0.0038243678864091635,0.0032680449075996876,0.0011213944526389241,0.0009758974774740636,0.0018609450198709965,0.00011601009464357048,-0.0035632236395031214,-0.003567960113286972,0.0031916769221425056,-0.0015991420950740576,0.0016866353107616305,0.0020548435859382153,-0.0026416839100420475,0.0018460956634953618,0.0006746124709025025,-0.00044893805170431733,0.0033079131972044706,-0.0006825320888310671,-0.00011422579700592905,-0.0002566216280683875,-0.0029821915086358786,0.0005015826318413019,-0.0016688525211066008,0.0013577340869233012,-0.003686410840600729,-0.003578870790079236,0.0015711849555373192,0.0038600016850978136,-0.0030353707261383533,0.00043809565249830484,0.0010469782864674926,0.0035789930261671543,0.003800980281084776,-0.0027428031899034977,-0.002264571376144886,-0.0009693350875750184,0.0034802532754838467,-0.001471655908972025
9,0.0008057749946601689,-0.001482859835959971,0.0013672488275915384,-0.0024477215483784676,0.0019939476624131203,0.000929193280171603,-0.0006859710556454957,0.0031077396124601364,-0.0030664626974612474,0.002316536381840706,0.002442055381834507,-0.0024986169300973415,-0.0014233008259907365,0.0013252435019239783,-0.002014316851273179,0.0007589042652398348,-0.002915270859375596,0.0023825918324291706,-2.11485312320292e-05,-0.0010875771986320615,0.0007996759377419949,0.0012526520295068622,-0.0006266197888180614,-0.003668124321848154,-0.002319609746336937,-0.0032695692498236895,-0.003539730329066515,-0.002430211054161191,0.0001103716203942895,0.00017756488523446023,-0.0027287749107927084,0.0012446824694052339,-0.003216410055756569,0.0035275525879114866,0.0031492705456912518,0.0034087439998984337,0.001991917146369815,0.0034417121205478907,0.0010792113607749343,0.0037595736794173717,-0.000871085561811924,-0.0030905469320714474,0.0025670966133475304,-0.0038814598228782415,0.00024138570006471127,0.00029488818836398423,0.0007962033268995583,0.00030295061878859997,-2.1245627067401074e-05,-0.0006636090693064034,0.0034332198556512594,-0.0013726557372137904,-0.0005865339189767838,-0.0015607996610924602,0.0008749206899665296,-0.0025652525946497917,0.0032587351743131876,-0.003793783485889435,0.003552899928763509,0.001970509998500347,-0.0005085914744995534,-0.002072621136903763,0.0012057771673426032,0.002974812174215913,-0.0020455142948776484,0.002252535428851843,-0.003477189689874649,-0.00018388892931398004,0.0011969123734161258,0.003754619276151061,-0.0036236948799341917,-0.002120453864336014,0.0007872215937823057,0.003801500890403986,5.223221887717955e-05,0.0025413106195628643,-0.0029199763666838408,0.003091151360422373,0.0009612484718672931,0.0037469591479748487,-0.0020012452732771635,-0.002403481164947152,0.00104226591065526,-0.0032657659612596035,-0.0017335269367322326,0.001644040341489017,-3.861999721266329e-05,-0.002974916948005557,0.0029827223625034094,-0.0037813675589859486,-0.0036824445705860853,-0.001419270527549088,-0.0028942476492375135,-0.003543238155543804,-0.00268606748431921,0.0010412383126094937,0.0034221732057631016,0.0009184114751406014,-0.0036506608594208956,0.002948163077235222,-0.0035050869919359684,-0.0018778765806928277,0.0003330986655782908,-0.003314901376143098,0.0011310671688988805,-0.0029487197753041983,0.0034902715124189854,-0.002184242010116577,0.0006368483300320804,0.002195814624428749,0.0013904237421229482,-0.0037556893657892942,-0.001261604600585997,-0.002134589245542884,0.0013968037674203515,0.0022642321418970823,-0.002649255096912384,0.0013797825668007135,-0.0008160950383171439,-0.0011999787529930472,-0.00018637107859831303,-0.00044538790825754404,0.0021652982104569674,0.0022263212595134974,-0.0027648797258734703,0.0021278210915625095,-0.0017184022581204772,0.0006435081013478339
10,0.0006109721143729985,-0.0022128568962216377,-0.002417933661490679,-0.0015266146510839462,-0.0016789749497547746,-0.001022420939989388,-0.0010565066477283835,-0.0012765328865498304,-0.0022785202600061893,-0.0002968914050143212,-2.584345747891348e-05,-0.0003722803667187691,0.0020028729923069477,0.0037592926528304815,-0.0022152152378112078,-0.003430407727137208,0.0019060461781919003,0.003688292345032096,0.0013839162420481443,-2.1854966689716093e-05,-0.0006265503470785916,0.0032937885262072086,-0.0015602604253217578,0.003605745965614915,0.002834116108715534,-6.182031938806176e-06,7.638297392986715e-05,0.0016378737054765224,-0.0012491395464166999,0.0012519031297415495,0.0011207511415705085,0.0006545440410263836,-9.280705126002431e-05,0.002254132181406021,-0.0033373606856912374,-0.003706430783495307,-0.003076175693422556,0.000924399122595787,0.003394217463210225,-0.0009706043056212366,-0.002728911116719246,0.0017739792820066214,0.002784772077575326,-0.0024188198149204254,0.0019584137480705976,0.002581489272415638,-0.00153472984675318,-0.0015683769015595317,-0.0017657720018178225,-0.002418518764898181,0.0037110629491508007,-0.0005516275996342301,-0.0028101529460400343,0.000875695317517966,-0.00140019238460809,-0.0035709638614207506,-0.0005235313437879086,-0.00012068546493537724,0.0024642464704811573,0.0002518964756745845,0.0006331969052553177,0.00044924335088580847,0.003993119578808546,-0.0035734085831791162,-0.0014667599461972713,0.002762281335890293,0.0009666836122050881,-0.0034805024042725563,0.0019171113381162286,-0.0005558998673222959,0.003697749227285385,-0.0023282719776034355,0.001238928991369903,0.0012255623005330563,0.003265321021899581,0.001502603990957141,0.0020976776722818613,-0.0024060732685029507,0.00041778048034757376,0.0009251813753508031,-0.0020594261586666107,0.003707463853061199,-0.003180284518748522,0.00048066599993035197,-0.003931091167032719,0.0029722885228693485,0.0006233059102669358,0.004052066244184971,-0.003791134338825941,0.0028927007224410772,-0.0030866831075400114,0.003239748300984502,-0.0019818393047899008,-0.0027737461496144533,0.002294666599482298,0.0013282650616019964,-0.000646563246846199,-0.0022115453612059355,-0.0011411812156438828,-0.0029549470636993647,0.001942697330377996,0.0005610616062767804,0.002881864085793495,0.0016602688701823354,-0.00020417972700670362,-0.0019333658274263144,-0.00037064997013658285,-0.0008500270778313279,-0.0015882202424108982,-0.0022424987982958555,0.001227347063831985,0.0032332888804376125,-0.0023354939185082912,0.0007995035848580301,0.002569344360381365,-0.003083977149799466,-0.003153999103233218,-0.0010646411683410406,0.0029595885425806046,-0.0036860674154013395,-0.0035965028218925,0.001530834473669529,0.0035277630668133497,0.0020675433333963156,0.002951971488073468,-0.0010267399484291673,0.0021748074796050787,0.001892013126052916
